,Title,City,Salary,Rating,Company
411,ERP Data Analyst,"Fort Mill, SC",$39K - $68K ,NaN,Wikoff Color Corp
412,Lead Data Engineer,Remote13d,NaN,NaN,Interior Define
413,Business Data Analyst - Operations,"Indianapolis, IN",$46K - $96K ,3.4,Knowledge Services
414,Business Intelligence Analyst- Florida Applicant Only,"Boca Raton, FL",$46K - $92K ,3.4,TouchSuite
415,Customer Service Data Analyst - Albuquerque or Remote Work Option,"Albuquerque, NM",$45K - $81K ,3.2,PNM Resources
416,Business Intelligence Architect/Data Scientist,"Atlanta, GAEasy Apply6d",NaN,NaN,Starr and Associates
417,R&amp;D Analytical Manager,"Chattanooga, TN",$114K ,NaN,ProStaff Solutions Inc
418,"VP of Data, MMM","Columbia, MD",$96K - $207K ,NaN,Corporate Brokers
419,Senior Research Associate/Associate Scientist - Genetic Diseases,"Cambridge, MAHot9d",NaN,NaN,Scismic
420,Data Scientist,"Chicago, IL4d",NaN,3.5,Kelly
421,Data Scientist,"Stamford, CTEasy Apply11d",NaN,4.2,Brooksource
422,DDM – Data Scientist,"New York, NY",$77K - $152K ,3.4,Biz2Credit Inc
423,GBSD Principal Data Scientist,"Roy, UT",$77K - $146K ,4,Northrop Grumman
424,Biomedical Data Scientist,"Frederick, MD",$81K - $134K ,3.9,Leidos
425,Senior Data Scientist,"Bethesda, MD",$93K - $168K ,3.9,Leidos
426,Business Intelligence Analyst,"Mascoutah, ILEasy Apply14d",NaN,4.4,SyllogisTeks
427,SAS Data Engineer,"Arlington, VA",$74K - $143K ,3.6,CareJourney
428,Application Scientist/Lab manager - Diabetes Research,"Chicago, IL",$52K - $107K ,NaN,O2M Technologies
429,Mortgage Records Data Analyst,"Fort Washington, PA",$30K - $55K ,3.6,NewRez
430,Sr. Health Policy Data Analyst,"Nashville, TN",$60K - $108K ,3.8,Vanderbilt University Medical Center
431,"Principal Scientist 2, In Vitro","Worcester, MA",$72K - $146K ,3.4,Charles River Laboratories
432,Big Data Engineer,"Chantilly, VA",$78K - $163K ,4,Peraton
433,"Senior Clinical Scientist/Director, Clinical Science","Hampton, NJ",$53 - $90 Per Hour,3.7,"Celldex Therapeutics, Inc."
434,Medical Lab Technician/Medical Laboratory Scientist (MLS/MT) - New Vision Lab Mercy Health - Full Time,"Lima, OH",$41K - $76K ,3.6,Mercy Health
435,Artificial Intelligence/Machine Learning Data Scientist,United States30d+,NaN,3.8,Mitre Corporation
436,Data Review Scientist,"Newark, DE.css-1831hoy{color:#ea7600;text-align:right;line-height:20px !important;}.css-jcbnij{color:#ea7600;text-align:right;line-height:20px !important;font-size:12px !important;font-weight:bold !important;}Hiring Surge24h",NaN,3.4,Charles River Laboratories
437,Jr. Data Engineer - (Hire and Train),"Tampa, FL5d",NaN,3.7,Cognizant Technology Solutions
438,Data Scientist,"Centennial, CONew1d",NaN,3.3,Arrow Electronics
439,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle
440,Data Specialist,RemoteNew24h,NaN,4.6,Haptik
441,Data Scientist,Remote,$75K - $120K ,NaN,ForMotiv
442,Computational Biologist / Data Scientist,"Cambridge, MATop Company14d",NaN,4.2,Novartis
443,Data Scientist,"Chevy Chase, MD30d+",NaN,3.5,GEICO
444,Machine Learning Data Scientist,"San Francisco, CA5d",NaN,4.9,Oura
445,Data Scientist,"New York, NYNew24h",NaN,3.7,AllianceBernstein
446,Staff Data Scientist,"East Boston, MA30d+",NaN,3.6,"Alteryx, Inc."
447,"Data Scientist, LTV - HBO Max","Bunker Hill Towers, CA30d+",NaN,3.7,HBO Max
448,Biological Data Scientist,"Richland, WA24h",NaN,4.2,Pacific Northwest National Laboratory
449,Venmo Risk Data Scientist,"Chicago, ILTop Company24h",NaN,4.1,PayPal
450,Data Scientist 1,"Timonium, MDTop Company4d",NaN,4.1,PayPal
451,"Associate Data Scientist I, II, or III","Salt Lake City, UT30d+",NaN,3.7,"BioFire Diagnostics, LLC."
452,Senior Data Scientist,"Austin, TX24h",NaN,4.5,Bumble
453,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl
454,Data Scientist - Remote Nationwide,"San Antonio, TX2d",NaN,3.6,UnitedHealth Group
455,Hire and Train Data Scientist/ Engineer,"San Francisco, CA19d",NaN,3.7,Cognizant Technology Solutions
456,Data Engineer,"Jersey City, NJNew1d",NaN,3.7,Cognizant Technology Solutions
457,Machine Learning Engineer,"Mountain View, CA28d",NaN,3.9,TikTok
458,Data Scientist - Entry Level,"Livermore, CATop Company12d",NaN,4.6,Lawrence Livermore National Laboratory
459,Data Scientist - Entry Level,"Sacramento, CA30d+",NaN,NaN,Numerdox
460,Sr. Data Scientist,Remote,$150K - $165K ,4,Innovar Group
461,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids
462,Data Scientist,"Austin, TX19d",NaN,4.3,YETI Coolers
463,Data Scientist,Remote5d,NaN,2.8,U.Group
464,Data Scientist,"College Park, MD",$61K - $103K ,4.3,University of Maryland
465,Big Data Engineer .Net,"Washington, DC",$75K - $143K ,NaN,"Nard, LLC"
466,Fixed Income Data/Quantitative Analyst,"Milwaukee, WI",$47K - $99K ,4,Northwestern Mutual
467,Data Scientist,"Boston, MA",$81K - $132K ,3.5,Wayfair
468,Data Scientist,RemoteHiring SurgeEasy Apply5d,NaN,4.5,Braze
469,System Engineer/Data Modeler,"Fort Meade, MD",$74K - $150K ,NaN,Strategic Analytix
470,Computer Scientist II,"Tucson, AZ",$81K - $125K ,3.9,"Modular Mining Systems, Inc."
471,Lead Clinical Laboratory Scientist,"Newport Beach, CA",$56K - $100K ,2.1,"HRC Fertility Management, LLC"
472,Data Modeler and Developer in GCP,"Denver, CO",$48K - $88K ,3,Transamerica
473,Data Scientist,"San Francisco, CA",$96K - $162K ,3.9,Clarify Health Solutions.
474,Data Scientist,"Boston, MA6d",NaN,5,Aquesst
475,Data Scientist,"Herndon, VA",$101K - $165K ,4.6,Novetta
476,Data Scientist,"Menlo Park, CA",$104K - $180K ,3.7,Humanyze
477,Data Scientist,"Honolulu, HI",$80K - $143K ,3.1,Central Pacific Bank
478,Data Scientist,"Cambridge, MA",$73K - $134K ,4,Sanofi
479,Data Analyst-HEDIS &amp; Star,"Long Beach, CA",$49K - $91K ,4.1,SCAN Group
480,Data Scientist,"San Jose, CA",$135K - $174K ,3.6,McAfee
481,Marketing Data Analyst,"New Rochelle, NY",$47K - $95K ,3,Benchmark Education Company
482,Data Scientist,"McLean, VA",$91K - $146K ,4.1,Thomson Reuters
483,Scientist (Primary Cell / Product),"San Diego, CA",$70K - $103K ,NaN,iXCells Biotechnologies
484,"Senior Scientist, Exploratory Group, Research and Development","Menlo Park, CA",$92K - $145K ,3.8,Akoya Biosciences
485,"Business Intelligence Analyst - Richmond, VA","Richmond, VA",$47K - $86K ,3.5,Lansing Building Products
486,Data Scientist,Remote5d,NaN,4.2,AlphaSights
487,Data Modeler (Data Vault),"Boston, MA",$66K - $127K ,3.8,Liberty Mutual Insurance
488,Data Scientist,"Pittsburgh, PA",$74K - $118K ,3.7,PNC Financial Services Group
489,Supply Chain Data Analyst (Local Candidate's Preferred),"Eagle, COEasy Apply13d",NaN,NaN,QuietKat Inc
490,Data Scientist,"Piscataway, NJHiring Surge21d",NaN,4.3,Scalable Systems
491,E-Commerce Sale Data Analyst(Bilingual),"Industry, CAEasy Apply6d",NaN,NaN,Winjet Automotive Inc.
492,RN-Nurse Scientist,"Saint Louis, MO",$53K - $84K ,3.6,SSM Health
493,Data Scientist,RemoteHot11d,NaN,4.3,Coinbase
494,Principal Data Scientist / Senior Principal Data Scientist,"Salt Lake City, UT",$91K - $183K ,4,Northrop Grumman
495,Data Scientist,"Kansas City, MO",$66K - $108K ,4.1,Commerce Bank
496,Data Scientist,"Chicago, IL",$85K - $145K ,2.6,Care Advisors Inc
497,Research Scientist - Software Defined Radio,"College Park, MD",$55K - $74K ,3.5,Perspecta
498,"Data Engineer, Medical Diagnostics","Mountain View, CA",$72K - $133K ,3.5,Specific Diagnostics
499,"Principal Scientist / Director, Immunology","Boston, MA",$102K - $202K ,5,HotSpot Therapeutics
500,Data Scientist,"Plainsboro, NJ",$72K - $125K ,NaN,Penfield Search Partners
501,Data Scientist,RemoteHot6d,NaN,4.9,Balto
502,Data Scientist,Remote20d,NaN,4.1,Daily Harvest
503,Data Scientist,"San Mateo, CA",$94K - $162K ,4.6,SetSail
504,Advanced Healthcare Data Analyst,"Corpus Christi, TX",$36K - $74K ,4.1,Driscoll Children's Hospital
505,Data Scientist (TS/SCI poly),"Chantilly, VA",$80K - $141K ,4,Northrop Grumman
506,Data Scientist,RemoteEasy Apply5d,NaN,4.1,Blockchain.com
507,Data Scientist,"Arlington, VA",$98K - $152K ,4,Visa
508,Data Scientist,"Austin, TX",$108K - $123K ,4.7,Literati
509,Data Scientist,"Boston, MA",$76K - $135K ,3.9,McGraw Hill
510,"Lead, Data Scientist","New York, NY",$117K - $197K ,3.4,Macy’s
511,Data Scientist,"Omaha, NE",$71K - $112K ,4.3,Buildertrend
512,Data Science Support Analyst (Senior),"McLean, VA",$95K - $162K ,3.9,BAE Systems
513,Quantitative Researcher,"San Francisco, CA",$115K - $163K ,NaN,VertiSystem Inc
514,Sr. Data Analyst,"Dublin, CA",$92K - $186K ,4,Patelco Credit Union
515,"Data Analyst - Portsmouth, Corporate Headquarters","Portsmouth, NH",$49K - $91K ,3.5,Service Credit Union
516,Data Scientist,"Los Angeles, CA",$62K - $126K ,4.6,Tatari
517,"Scientist, QC Cell Assay - Relocation",United States11d,NaN,NaN,"Ology Bioservices, Inc."
518,Medical Laboratory Scientist,"Traverse City, MIEasy Apply11d",NaN,3.1,AG Globe Services
519,IT Data Analyst,"Greenville, SC",$52K - $102K ,4.5,Southern Management Corporation
520,Data Modeler,"Chantilly, VA",$69K - $156K ,3.5,Perspecta
521,Software Engineer and Scientist,"Half Moon Bay, CA",$100K - $174K ,NaN,"GenNext Technologies, Inc."
522,Data Scientist,"Culver City, CA",$80K - $145K ,4.6,Kernel
523,Data Scientist,"Palo Alto, CA6d",NaN,3.6,Jerry
524,Data Scientist,"San Diego, CA",$123K - $170K ,4.1,Experian
525,Data Scientist,"Cincinnati, OH",$74K - $121K ,3.9,Western & Southern Financial Group
526,Data Scientist,New York State.css-65p68w{line-height:20px !important;}.css-r3emcz{background:transparent;color:#505863;font-size:12px;font-weight:700;line-height:20px;padding:0;}Easy Apply28d,NaN,4.1,Enigma
527,Data Scientist,"College Park, MD",$61K - $103K ,4.3,University of Maryland
528,Actuary - Data Science &amp; Advanced Analytics,"Aliso Viejo, CA",$89K - $156K ,3.7,Pacific Life
529,Fixed Income Data/Quantitative Analyst,"Milwaukee, WI",$47K - $99K ,4,Northwestern Mutual
530,Data Scientist,"Washington, DC",$65K - $111K ,3.8,Analytica
531,Data Scientist,"Los Altos, CA",$117K - $162K ,NaN,"Alto Neuroscience, Inc."
532,Data Scientist,"Baltimore, MD",$70K - $103K ,4.3,Emocha Mobile Health Inc
533,Data Scientist,Remote6d,NaN,4,Pixability
534,Data Scientist,"Chicago, IL",$70K - $118K ,4.6,Eleks
535,Data Scientist,RemoteEasy Apply26d,NaN,3.6,Clover Health
536,Big Data Engineer .Net,"Washington, DC",$75K - $143K ,NaN,"Nard, LLC"
537,Data Scientist,"San Francisco, CA",$111K - $185K ,4.2,Tubi
538,Data Scientist,"Minneapolis, MN",$72K - $131K ,4.3,FOODSBY
539,Data Scientist,"Nashville, TN",$66K - $116K ,3.3,SmileDirectClub
540,Data Scientist,"Boulder, CO",$91K - $138K ,4.1,Honey
541,Data Scientist,"Austin, TX",$135K - $151K ,4.3,Cloudflare
542,Data Scientist - Machine Learning/Cortex Data Science,"Boston, MA",$103K - $173K ,4.2,Twitter
543,Data Scientist,RemoteHiring SurgeEasy Apply5d,NaN,4.5,Braze
544,Data Scientist,"Herndon, VA",$62K - $105K ,4.1,LOCKHEED MARTIN CORPORATION
545,Data Scientist,"New York, NY",$130K - $167K ,4,Disney Streaming Services
546,Data Scientist,"Boston, MA",$81K - $132K ,3.5,Wayfair
547,"Data Scientist, Data &amp; Visualization (Contract)","Los Gatos, CA",$97K - $156K ,3.5,STAR Labs
548,Data Scientist,"Cambridge, MA",$70K - $123K ,4.3,Panjiva
549,Market Research Data Analyst,"Framingham, MA",$43K - $79K ,3.6,Phoenix Marketing International
550,Data Scientist,"San Diego, CA",$82K - $124K ,4.3,Knowesis Inc.
551,GBSD Data Scientist,"Roy, UT8d",NaN,4,Northrop Grumman
552,Data Scientist,Remote,$75K - $120K ,NaN,ForMotiv
553,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl
554,Senior Data Scientist,Remote,$110K - $140K ,NaN,competitive balance analytics
555,Data Scientist,"Centennial, CO.css-1831hoy{color:#ea7600;text-align:right;line-height:20px !important;}.css-jcbnij{color:#ea7600;text-align:right;line-height:20px !important;font-size:12px !important;font-weight:bold !important;}New1d",NaN,3.3,Arrow Electronics
556,Data Scientist,Remote,$80K - $125K ,2.8,JM Talent Inc.
557,Data Scientist - Wearables,Remote,$80K - $190K ,NaN,Invisalert Solutions
558,Artificial Intelligence/Machine Learning Data Scientist,United States30d+,NaN,3.8,Mitre Corporation
559,Jr. Data Engineer - (Hire and Train),"Tampa, FL5d",NaN,3.7,Cognizant Technology Solutions
560,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation
561,Data Scientist,"Columbus, OH28d",NaN,3.4,Safelite Group
562,Data Scientist - Entry Level,"Sacramento, CA30d+",NaN,NaN,Numerdox
563,Data Scientist,"Bentonville, AR4d",NaN,3.4,Walmart
564,Data Scientist 1,"Burlington, MANew24h",NaN,3.7,Oracle
565,Data Review Scientist,"Newark, DEHiring Surge24h",NaN,3.4,Charles River Laboratories
566,Data Scientist,"Hillsboro, OR24h",NaN,4.2,Intel
567,Hire and Train Data Scientist/ Engineer,"San Francisco, CA19d",NaN,3.7,Cognizant Technology Solutions
568,Data Scientist,"Salt Lake City, UT27d",NaN,NaN,Zartico
569,"Associate Data Scientist I, II, or III","Salt Lake City, UT30d+",NaN,3.7,"BioFire Diagnostics, LLC."
570,Imaging Data Scientist,"Hillsboro, ORNew24h",NaN,4.2,Intel
571,Data Scientist,"Los Altos, CAEasy Apply1d",NaN,NaN,"Alto Neuroscience, Inc."
572,Data Science &amp; Analytics,"South Jordan, UT30d+",NaN,NaN,Digital Trike
573,Data Scientist,Remote15d,NaN,3.8,O'Reilly Media
574,Data Scientist,"Salt Lake City, UTHiring SurgeEasy Apply7d",NaN,4,Progrexion
575,Data Scientist,"Lehi, UT",$70K - $90K ,4.6,Xyngular
576,Junior Data Scientist,Remote30d+,NaN,3.1,FEDDATA
577,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle
578,Data Entry,RemoteNewEasy Apply2d,NaN,3,TransPerfect Translations Inc.
579,Junior Data Scientist,Remote13d,NaN,2.9,NewWave HQ
580,Artificial Intelligence/Machine Learning Data Scientist,United States30d+,NaN,3.8,Mitre Corporation
581,Data Review Scientist,"Newark, DE.css-1831hoy{color:#ea7600;text-align:right;line-height:20px !important;}.css-jcbnij{color:#ea7600;text-align:right;line-height:20px !important;font-size:12px !important;font-weight:bold !important;}Hiring Surge24h",NaN,3.4,Charles River Laboratories
582,Jr. Data Engineer - (Hire and Train),"Tampa, FL5d",NaN,3.7,Cognizant Technology Solutions
583,Data Scientist,"Centennial, CONew1d",NaN,3.3,Arrow Electronics
584,Data Scientist,Remote,$75K - $120K ,NaN,ForMotiv
585,Computational Biologist / Data Scientist,"Cambridge, MATop Company14d",NaN,4.2,Novartis
586,Data Scientist,"Chevy Chase, MD30d+",NaN,3.5,GEICO
587,Data Science Intern,Remote,$17 Per Hour,4.7,Noodle
588,Data Specialist,RemoteNew24h,NaN,4.6,Haptik
589,"Bioinformaticist, Research and Development","New York, NY30d+",NaN,NaN,Scismic
590,Machine Learning Data Scientist,"San Francisco, CA5d",NaN,4.9,Oura
591,Staff Data Scientist,"East Boston, MA30d+",NaN,3.6,"Alteryx, Inc."
592,Data Scientist,"New York, NYNew24h",NaN,3.7,AllianceBernstein
593,Data Scientist - Remote Nationwide,"San Antonio, TX2d",NaN,3.6,UnitedHealth Group
594,Data Scientist,"San Francisco, CA",$250K - $450K ,4.7,Blue Owl
595,Hire and Train Data Scientist/ Engineer,"San Francisco, CA19d",NaN,3.7,Cognizant Technology Solutions
596,"Data Scientist, LTV - HBO Max","Bunker Hill Towers, CA30d+",NaN,3.7,HBO Max
597,Venmo Risk Data Scientist,"Chicago, ILTop Company24h",NaN,4.1,PayPal
598,Data Scientist 1,"Timonium, MDTop Company4d",NaN,4.1,PayPal
599,Biological Data Scientist,"Richland, WA24h",NaN,4.2,Pacific Northwest National Laboratory
600,"Associate Data Scientist I, II, or III","Salt Lake City, UT30d+",NaN,3.7,"BioFire Diagnostics, LLC."
601,Machine Learning Engineer,"Mountain View, CA28d",NaN,3.9,TikTok
602,Senior Data Scientist,"Austin, TX24h",NaN,4.5,Bumble
603,Data Engineer,"Jersey City, NJNew1d",NaN,3.7,Cognizant Technology Solutions
604,Data Scientist - Entry Level,"Livermore, CATop Company12d",NaN,4.6,Lawrence Livermore National Laboratory
605,Senior Data Scientist (Remote-friendly),Remote30d+,NaN,4.2,Noom Inc.
606,Data Scientist - Entry Level,"Sacramento, CA30d+",NaN,NaN,Numerdox
607,Sr Data Scientist,"Salt Lake City, UT",$80K - $140K ,3.8,Zions Bancorporation
608,Data Scientist,Remote,$63 - $82 Per Hour,4.4,ids
609,Data Scientist,"New York, NY",$107K - $176K ,4.4,Tapad
610,Data Analyst,"Gold River, CAActively HiringEasy Apply11d",NaN,3.7,Robert Half
611,Senior Data Engineer,"Chicago, IL",$82K - $143K ,NaN,"Amount, Inc"
612,Data Scientist,"New York, NY",$67K - $113K ,3.5,Cardlytics
613,Data Scientist,"Herndon, VA",$73K - $112K ,3.1,"Stride, Inc."
614,Data Scientist,"Ontario, CA",$99K - $122K ,4.3,Genentech
615,Data Scientist,"San Diego, CA",$73K - $118K ,3.5,sensemetrics
616,Data Scientist,"Newark, NJ",$106K - $111K ,3.8,Prudential
617,Data Scientist,"Glendale, CA",$73K - $127K ,NaN,Posh Peanut Inc.
618,Data Scientist,"Framingham, MA",$75K - $131K ,3.3,Staples
619,Data Scientist,"Boston, MA",$64K - $111K ,4.6,OM1
620,Data Scientist,"Atlanta, GA",$74K - $121K ,3.9,Michelin Inc
621,Data Scientist,"San Diego, CA",$78K - $125K ,4.8,Power Digital Marketing
622,Data Scientist,"San Francisco, CA",$81K - $108K ,4,Surya Systems
623,Data Scientist,"Hanover, MD",$61K - $111K ,5,cloudteam
624,Data Scientist,Texas4d,NaN,NaN,Victory
625,Data Scientist,"New York, NY",$85K - $152K ,3.9,Komodo Health
626,Data Scientist,"Redwood City, CA",$95K - $176K ,4,Paradigm Diagnostics
627,Data Scientist,"Jersey City, NJHotEasy Apply19d",NaN,4,"ReqRoute,Inc"
628,Sr. Data Scientist,"Frisco, TX",$113K - $144K ,NaN,Oportun Inc
629,Data Scientist,RemoteTop CompanyEasy Apply1d,NaN,4.6,Clearcover
630,Research Fellow - Data Science,"Rochester, MN",$48K - $91K ,4.2,Mayo Clinic
631,Data Scientist,Remote15d,NaN,3.8,O'Reilly Media
632,Data Scientist,"San Jose, CAEasy Apply25d",NaN,4.8,Riderflex
633,Data Scientist,"San Francisco, CA",$130K - $150K ,4.7,Angaza
634,Data Scientist,"Germantown, MD",$70K - $128K ,3.6,DataLab USA
635,Data Scientist,RemoteHot11d,NaN,5,JupiterOne
636,Data Scientist,"Dallas, TX",$67K - $119K ,3.8,Havas
637,Data Scientist,CaliforniaNewEasy Apply24h,NaN,NaN,Doorstead
638,"Data Scientist, Product Analytics","Washington, DC",$97K - $155K ,4.3,Facebook
639,Data Scientist,"Needham, MA",$78K - $135K ,2.8,Steward Health Care Network
